"kesretli","çok sayıda"
"kışr-ı zâhirî","dış kabuk"
"kıt’a","dünyanın kara paçalarından her biri"
"küllî","geniş, kapsamlı"
"küre-i arz","yerküre, dünya"
"küre-i uhrâ","diğer küre"
"maâdin","madenler"
"mahlûk","yaratılmış"
"mahşer","toplanma yeri"
"makarr","kalınacak yer, merkez"
"malûm","bilinen"
"mânevî","maddî olmayan"
"mâruf","bilinen"
"masnuat-ı İlâhiye","Allah’ın sanatla yarattığı varlıklar"
"mazhar","yansıma ve görünme yeri"
"medar-ı hayat","hayatın kaynağı"
"mesken","ev, mekan"
"meşher","sergi yeri"
"mevâlid-i selâse","üç çocuk; dört unsurun (su, hava, toprak, güneş) birleşiminden meydana gelen madenler, bitkiler ve hayvanlar"
"mikyas","ölçü"
"muhtelif","çeşitli"
"mukabil","karşılık"
"muttasıl","yapışık, bitişik"
"mütenevvi","çeşit çeşit"
"nam","ad, isim"
"nar","ateş"
"nebâtat","bitkiler"
"seb’a","yedi"
"semâvât","gökler"
"şark","doğu"
"şehadet","şahidlik"
"şimal","kuzey"
"tazammun etmek","içine almak, kapsamak"
"tevafuk","uygunluk"
"türab","toprak"
"abesiyet","faydasız ve gayesiz oluş"
"âlem-i berzahiye","öldükten sonra ruhların kıyamete kadar kalacakları manevî âlem"
"âlem-i misaliye","bütün varlıkların ve olayların görüntülerinin yansıdığı madde ötesi âlem"
"âlem-i şehadet","gözle görülebilen âlem"
"arz","yeryüzü"
"cevelân","dolaşma"
"ecnâs","cinsler, türler"
"ehl-i keşf","maneviyat âlemlerinde iman hakikatlerini gözlemleme seviyesine ulaşmış insanlar"
"Hakîm-i Mutlak","her şeyi hikmetle yapan, sınırsız hikmet sahibi Allah"
"Hakîm-i Zülkemâl","sonsuz mükemmellik sahibi olan ve her şeyi hikmetle yaratan Allah"
"hâli","boş, ıssız"
"halk etme","yaratma"
"hararet","ısı"
"haricinde","dışında"
"hayvânât","hayvanlar"
"hülâsa","özet"
"iktiza etmek","gerektirmek"
"iskân etme","yerleştirme, ev ve yurt sahibi yapma"
"Kadîr-i Zülcelâl","kudreti her şeyi kuşatan, haşmet ve yücelik sahibi olan Allah"
"kemâl","kusursuzluk, mükemmellik"
"kesif","katı, yoğun"
"kışr-ı zâhirî","dış kabuk"
"küllî","geniş ve kapsamlı"
"küre-i arz","yerküre, dünya"
"mahlûk","yaratılmış, varlık"
"mahlûkat","varlıklar"
"mânâ","anlam"
"mâni","engel"
"melâike","melekler"
"mesken","ev, mekan"
"mevcut olmak","var olmak"
"muttasıl","yapışık, bitişik"
"muvafık","uygun"
"münasip","uygun"
"nâr","ateş"
"nevi","çeşit, tür"
"nisbeten","kıyasla"
"nokta-i nazar","bakış açısı"
"nur","aydınlık"
"ruhanî","maddî yapısı olmayan ve gözle görülemeyen ruh âlemine ait varlık"
"Sâni-i Bizevâl","sonu olmayan, her şeyi san’atla yaratan Allah"
"şen","sevinç, neşe"
"tabaka","kat, katman"
"tabakat-ı arz","yeryüzünü oluşturan tabakalar"
"tahakkuk etmek","gerçekleşmek"
"tasvirat","tasvirler, sözlü tanımlar"
"tavr-ı akıl","aklın kabul edebileceği durum"
"temsil","analoji, bir bilinmeyeni bilinen bir şeyle kıyaslayarak açıklama"
"unsur","madde, parça"
"vücut","varlık"
"zemin","yeryüzü"
"zîhayat","canlı"
"zikredilmek","anılmak, belirtilmek"
"zîşuur","şuur sahibi, bilinçli"
"acip","acaip, hayret verici"
"âlem-i misalî","görüntüler âlemi; bütün varlıkların ve olayların görüntülerinin yansıdığı madde ötesi âlem"
"âlem-i şehadet","görünen alem"
"Arş ve Kürs","Allah’ın büyüklük ve yüceliğinin ve herşeyi kuşatan sınırsız egemenliğinin tecelli ettiği iki yer"
"âyât","âyetler"
"âyât-ı Kur’âniye","Kur’ân ayetleri"
"âyet/âyet-i kerime","Kur’ân’ın herbir cümlesi"
"azamet","büyüklük"
"beyan","açıklama, anlatım"
"cephe-i harp","muharebe bölgesi"
"dâhi","son derece zeki, dehâ sahibi"
"ehl-i keşf","maneviyat âlemlerinde iman hakikatlerini gözlemleme seviyesine ulaşmış insanlar"
"ehl-i tefsir","Kur’ân’ı tefsir eden alimler"
"eski Harb-i Umumî","Birinci Dünya Savaşı"
"eski hikmet","ilk dönem İslâm filozoflarının yorumları"
"hükema","filozoflar"
"hülâsa","özet"
"i’câz","mu’cize oluş, bir benzerini yapmakta başkalarını aciz bırakma"
"i’câzkârâne","mu’cizeli bir şekilde, benzerini yapmaktan insanları aciz bırakacak şekilde"
"îcâz","az sözle çok mânâlar anlatma"
"ifrit","cinlerden bir tür"
"ihtar","hatırlatma, uyarı"
"ihtisar","kısaltma, özetleme"
"ilâ âhir","sonuna kadar"
"İşârâtü’l-İ’câz","Risale-i Nur külliyatında yer alan eserlerden biri"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"küre-i arz","yerküre, dünya"
"lisan-ı şer’î","İslâm literatürü"
"mecburiyet","zorunluluk"
"mesele-i mühimme","önemli mesele"
"mezheb","yol, usül"
"mezkûr","adı geçen"
"mukabil","karşılık"
"mücmel","kısa, öz"
"müteaddit","bir çok, çeşitli"
"nev-i beşer","insanlık"
"semâ","gökyüzü"
"semâvât","gökler"
"suret","biçim, şekil"
"şâşaalı","gösterişli, göz alıcı"
"tahakküm","baskı altında tutma"
"tasavvur","düşünme, hayal etme"
"tasvir etmek","anlatmak"
"tefsir","Kur’an ayetlerinin yorumlandığı eser"
"tevfik etme","bağdaştırma"
"tezahür","belirme, görünme"
"tezahürât","görünümler"
"zâhir","açık, görünürde olan"
"zâhiren","dış görünüş itibariyle"
"aklen","akıl bakımından"
"âlem","dünya, evren"
"câmid","katı"
"câzibe","çekim gücü"
"dâfia","itme gücü"
"ecrâm-ı ulviye","gök cisimleri"
"emvâc","dalgalar"
"esir/madde-i esir","kâinatı kapladığına inanılan ince madde"
"evvel","önce"
"fennen","bilimsel olarak"
"feza","uzay"
"feza-yı âlem","uzay"
"hadd-i vasat","orta çizgi, orta yol"
"hadis","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"hakikat","gerçek, doğru"
"hakikat-i Kur’âniye","Kur’ân’ın ifade ettiği hakikat"
"halk etme","yaratma"
"hararet","ısı, sıcaklık"
"hark ve iltiyâm","delinme ve deliğin kapanması"
"havâî","gaz halinde"
"hikmeten","ilim ve fen itibariyle"
"hikmet-i cedide","yeni felsefe, fen bilimleri"
"hikmet-i kudsiye","mukaddes, kusursuz ve eksiksiz hikmet"
"ifrat","bir şeyde aşırıya gitme"
"ihtiyar etme","seçme, tercih etme"
"kabil olmayan","mümkün olmayan"
"kaide","kural, prensip"
"kanun","tabiat olaylarının bağlı olduğu değişmez kaide"
"karardâde olmak","olgunlaşmak, belli bir şekilde karar kılmak"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"mânâ","anlam"
"mâni-i aklî","aklen oluşan engel"
"mâyi","sıvı"
"medar","dayanak noktası, kaynak"
"mevcut","var"
"muhtasar","kısa, özet"
"muhtelif","çeşitli"
"mukabil","karşılık"
"mürur ve ubûr","geçiş ve gelip geçme"
"müşahedeten","gözlemle"
"nâkil","nakleden, aktaran"
"nam","ad, isim"
"nâşir","neşreden, yazıp yayan"
"nev","çeşit, tür"
"nihayetsiz","sonsuz"
"rabıta","bağlantı"
"sair","diğer"
"Sâni-i Zülcelâl","büyüklük ve haşmet sahibi olan ve her şeyi san’atlı bir şekilde yaratan Allah"
"semâ","gökyüzü"
"semâvât","gökler"
"suret","biçim, şekil"
"tefrit","bir şeye aşırı seviyede ilgisiz kalma"
"tesbih etme","Allah’ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"teşekkülât","oluşumlar"
"ulvî","yüce"
"bizzarure","kaçınılmaz şekilde"
"daire-i azîme","büyük daire"
"delâlet","delil olma, işaret etme"
"derk olunmak","anlaşılmak, algılanmak"
"emâre","belirti, işaret"
"hads","güçlü sezgi, seziş"
"hadsen","güçlü bir sezgiyle ortaya çıkarak"
"hadsiz","sınırsız"
"hâkezâ","bunun gibi"
"halk etmek","yaratmak"
"hâvi","ihtiva eden, içine alan"
"istikrâen","eldeki verilerden hareketle genel bir hüküm verme şeklinde"
"kat’iyen","kesin olarak"
"kesret","çokluk"
"kudret-i fâtıra","herşeyin yaratıcısı olan Allah’ın kudreti"
"Kur’ân-ı Mu’cizü’l-Beyân","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur’ân"
"küllî","geniş, kapsamlı"
"madde-i esir","kâinatı kapladığına inanılan ince madde"
"madde-i vâhid","tek bir madde"
"manzumat","düzenlemeler, sıralamalar"
"manzume-i şemsiye","güneş sistemi"
"maruf","bilinen"
"masnuat","san’at eseri varlıklar"
"mezc","karışma, bütünleşme"
"mezkûr","adı geçen"
"muhalif","aykırılık gösteren, farklı"
"Muhbir-i Sadık","doğruluğunda şüphe bulunmayan haberleri veren Peygamber Efendimiz (a.s.m.)"
"muhtelif","çeşitli, farklı"
"müteaddit","bir çok"
"müvellidülhumuza","oksijen"
"müvellidülmâ","hidrojen"
"nam","ad, isim"
"nevi","çeşit, tür"
"ramad","ateş külü"
"sadık","doğru"
"semâvât","gökler"
"sevâbit","bulunduğu yerde hep sâbit olarak görülen yıldızlar"
"taaddüd","çokluk, birden fazla olma"
"tabaka","kat, katman"
"tabaka-i sevâbit","yerlerinde sabit olarak duran yıldızlar tabakası"
"tabakat","katlar, mertebeler"
"tabir olunan","ifade edilen"
"tabirat","tabirler, ifadeler"
"tanzim","düzenleme, düzene koyma"
"tecrübeten","deneyimle"
"teşekkül","ortaya çıkma, şekillenme"
"teşkil/teşkilât","düzenleme ve ıslak etmeye ait çalışma, faaliyet. Teşkilin çoğulu teşkilâttır."
"tevellüt etmek","ortaya çıkmak, doğmak"
"üslûb-u Arabî","Arapça ifade biçimi"
"vücud","varlık"
"acip","hayret verici"
"âmî","cahil, tahsil görmemiş"
"avam","halk, sıradan insanlar"
"âyât-ı Kur’âniye","Kur’ân âyetleri"
"dakik","ince, derin"
"derecât-ı fehim","anlayış dereceleri"
"elsine-i enâm","canlı varlıkların dilleri"
"esir/madde-i esiriye","kâinatı kapladığına inanılan ince madde"
"fehm","anlayış, kavrayış"
"halk etmek","yaratmak"
"havass","seçkin insanlar"
"havâ-yı nesîm","atmosfer"
"hitâbât-ı Kur’âniye","Kur’ân’ın bütün insanlara yönelik hitapları"
"hutbe-i ezeliye","Allah’ın bütün varlıklara yönelik konuşması"
"ins ve cin","insanlar ve cinler"
"işârât","işaretler, belirtiler"
"Kadîr-i Zülcelâl","kudreti her şeyi kuşatan ve sonsuz haşmet ve yücelik sahibi olan Allah"
"kozmoğrafya","astronomi, gök bilimi"
"Kur’ân-ı Mu’cizü’l-Beyan","açıklamalarıyla mu’cize olan Kur’ân"
"küre","dünya, yerküre"
"küre-i âhar","başka gezegen"
"maânî","mânâlar, anlamlar"
"makarr","kalınacak yer, merkez"
"mânâ","anlam"
"mânâ-yı küllî","geniş kapsamlı mânâ"
"manzumât-ı şümusiye","güneşlerin sistemleri"
"manzume-i şemsiye","güneş sistemi"
"medar","dayanak noktası, kaynak"
"muhtelif","çeşitli"
"mümâşât etmek","uygun hareket etmek"
"mürâât etmek","gözetmek, dikkate almak"
"müteaddit","bir çok, çeşitli"
"nazar","bakış, görüş"
"nev-i beşer","insanlık"
"nizam","düzen"
"seb’a-i seyyare","yedi gezegen"
"semâvât","gökler"
"semâvî","gökyüzünde (uzayda) bulunan"
"sır","ince hakikat"
"suret","biçim, şekil"
"tabaka","kat, sınıf"
"tabaka-i beşer","insanların ayrıldığı sınıfların her biri"
"tabaka-i insaniye","insan tabakası"
"taife-i beşeriye","insanlardan oluşan topluluk"
"tanzim etmek","düzenlemek"
"tesviye etmek","belli bir şekil vermek"
"teşekkülât","oluşumlar"
"umum","bütün"
"vecih","yön"
"vüs’at","genişlik"
"zer’ etmek","ekmek, dikmek"
"zevilhayat","canlılar"
"zımnen","gizlice, dolaylı olarak"
"acip","hayret verici"
"ahmak","akılsız"
"âlem-i şehadet","gözle gördüğümüz âlem"
"avâlim-i dünyeviye","dünyadaki âlemler"
"avâlim-i gaybiye","bilinmeyen ve görünmeyen âlemler"
"avâlim-i misaliye","bütün varlıkların yansımasının bulunduğu âlemler"
"avâlim-i uhreviye","âhiret âlemleri"
"âyet","Kur’ân’ın her bir cümlesi"
"cüz’î","ferdî, küçük, dar kapsamlı"
"efkâr","fikirler, düşünceler"
"efrad","fertler, bireyler"
"elhasıl","kısaca, özetle"
"erkân-ı seb’a","yedi temel"
"fehm","anlayış, kavrayış"
"filozof","felsefeci"
"hak","doğru gerçek"
"hakaik-i seb’a","yedi hakikat"
"hâkezâ","bunun gibi"
"hayalî","hayale dayalı"
"haylâz","yaramaz"
"ihata","içine alma, kapsama"
"inkâr-ı semâvât","gökyüzündeki tabakaları kabul etmeme"
"kıraat-ı seb’a","Kur’ân’ın yedi türlü okunuş şekli"
"kozmoğrafya","astronomi, gök bilimi"
"külliyet","kapsamlılık, genellik"
"lisan","dil"
"mâide-i semâviye","Allah tarafından kullarına sunulan mânevî sofra"
"mânâ","anlam"
"mânâ-yı âyet","Kur’ân’ın her bir cümlesinin ifade ettiği anlam"
"mânâ-yı küllî","geniş kapsamlı mânâ"
"mâsadak","bir söz veya hükmü doğrulayan husus, doğrulayıcı"
"mezkûr","adı geçen"
"mucizât-ı seb’a","yedi mucize"
"muhit","herşeyi içine alan, kuşatan"
"münhasır","sınırlı"
"mürâât","gözetme, dikkate alma"
"mütedâvil","dilden dile dolaşan"
"nâzil olan","inen"
"nev-i beşer","insanlık"
"sadık","doğru"
"sakf","çatı, tavan"
"semâ","gökyüzü"
"semâvât","gökler"
"semâvât-ı seb’a","yedi kat gök"
"sermest","başı dönmüş, kendinden geçmiş"
"taarruz etmek","karşı çıkmak"
"tabaka","kat, sınıf"
"tabaka-i beşeriye","insanların ayrıldığı sınıfların her biri"
"tabaka-i semâvât","gökyüzü tabakaları"
"taife","grup, topluluk"
"tevehhüm etme","sanma, kuruntuya kapılma"
"umum","genel"
"vâki","gerçekleşmiş"
"vücuh-u seb’a","yedi vecih; Kur’ân’ın yedi türlü okunuş şekli"
"âyât","âyetler"
"feylesof","filozof, felsefeci"
"hikmet-i hakikiye","felsefenin karşısında Kur’ân’ın koyduğu gerçek hikmet"
"itikadsız","inançsız"
"maddî","maddeyle alâkalı"
"mezkûr","adı geçen"
"miraç","yükseliş"
"nücum","yıldızlar"
"semâvât-ı Kur’âniye","Kur’ân’ın yüce makam ve dereceleri"
"şahap","göktaşı, meteor"
"şeyâtin","şeytanlar"
"tahkikat","araştırmalar"
"beyan","açıklama, anlatım"
"hikmetü’l-istiâze","şeytanın şerrinden Allah’a sığınmanın sebepleri ve faydaları"
"icmâlen","kısaca"
"istiâze","Allah’a sığınma"
"müteferrik","kısım kısım, bölümler halinde"
"risale","Risale-i Nur’u oluşturan bölümlerden herbiri"
"ademî","yokluğa ait"
"âzâ-yı esasiye","temel organlar"
"cazibedar","cazibeli, çekici"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"durub-u emsal","atasözleri, temsil sözleri"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"ehl-i hak","doğru ve hak yolda olan kimseler"
"ekseriyet-i mutlaka","büyük çoğunluk"
"galebe etmek","yenmek, üstün gelmek"
"Hâlık-ı Zülcelâl","sonsuz haşmet sahibi ve her şeyin yaratıcısı olan Allah"
"halt etmek","uygunsuz fiil ve davranışta bulunmak"
"hısn-ı hasîn","çok sağlam kale"
"hizbüşşeytan","şeytanın taraftarları"
"icad","var etme"
"inâyet","Allah’tan gelen yardım, ihsan, iyilik"
"kale-i metin","sağlam kale"
"medhal","katkı, etki"
"mehâsin","güzellikler"
"menfi","olumsuz"
"muhkem","sağlam"
"muvakkat","geçici"
"müeyyid","kuvvetlendiren, sağlamlaştıran"
"müsbet","olumlu, ispat edilebilen"
"müstekreh","tiksinti uyandıran"
"müşevvik","teşvik eden"
"rahmet","İlâhî şefkat, merhamet"
"sünnet-i Ahmediye","Hz. Muhammed’in (a.s.m.) sünneti, hal, söz, tavır ve tasdikleri"
"şer","kötülük"
"şeriat-ı Muhammediye","Hz. Muhammed’in (a.s.m.) tarif ettiği, getirdiği ve bildirdiği şeriat; İslâm dini"
"şerâit-i hayatiye","hayat şartları"
"tahassun etmek","korunmak"
"tahrip","yıkım"
"tenfir etmek","nefret ettirmek"
"vücudî","varlıkla ilgili"
"Cemîl-i Alel’ıtlak","sonsuz ve kusursuz güzellik sahibi olan Allah"
"cevaz","izin, müsaâde, ruhsat"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"ehl-i hak","doğru ve hak yolda olan kimseler"
"ehl-i iman","Allah’a ve Allah’tan gelen her şeye inanan kimseler, mü’minler"
"hıfz-ı İlâhî","Allah’ın koruması"
"husul","meydana gelme"
"inkişâfât","açığa çıkmalar"
"insan-ı kâmil","yaratılış gayesini eksiksiz olarak yerine getiren ve manevî olgunluğa erişen insan"
"istiâze","Allah’a sığınma"
"istidat","yetenek, kabiliyet"
"istiğfar","Allah’tan bağışlanma dilemek"
"kemâlât-ı insaniye","insana ait mükemmellikler"
"kemiyet","sayıca çokluk, nicelik"
"keyfiyet","özellik, nitelik"
"küfür","inkâr"
"mahiyet-i insaniye","insana ait temel özellik"
"makasıd-ı hayriye-i külliye","büyük hayırlı maksatlar"
"mazhar etmek","eriştirmek"
"merâtip","mertebeler"
"muamele-i kimyeviye","kimyasal işlem"
"muzır","zararlı"
"mücahede","cihad etme, mücadele"
"münafi","aykırı, ters"
"Rahîm-i Mutlak","kayda ve şarta bağlı olmaksızın sınırsız şefkat ve merhamet sahibi olan Allah"
"Rahmân-ı Bilhak","hakkıyla çok merhametli olan Allah"
"Resul-i Ekrem","Allah’ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"süflî","alçak, âdi"
"Sünnet-i Seniyye","Peygamberimizin söz, fiil ve hareketlerine dayanan yüce prensipler"
"şems","güneş"
"şerr-i cüz’î","ferdî, sınırlı, küçük kötülük"
"şerr-i mahz","tamamıyla şer ve kötü"
"takvâ","Allah’ın emirlerini tutup, günahlardan sakınmak"
"tasallut","musallat olma, sataşma"
"taslit","musallat olma, sataşma"
"tenvir etmek","nurlandırmak, aydınlatmak"
"terakki","ilerleme, gelişme"
"zemberek","hareketi sağlayan güç kaynağı"
"ayn-ı belâgat","belâgatın ta kendisi"
"belâgat","maksada ve hale uygun düzgün ve güzel söz söyleme"
"çendan","gerçi, her ne kadar"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"ehl-i hidayet","doğru yolda olanlar, iman etmiş olanlar"
"ehl-i iman","Allah’a ve Allah’tan gelen herşeye inanan kimseler, mü’minler"
"ekseriyetle","çoğunlukla"
"hatîat","yanlışlar, hatâlar"
"hizbüşşeytan","şeytanın taraftarları"
"hikmet","fayda, gaye; herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratılması"
"iktiza","gerektirme"
"iltica","sığınma"
"israf-ı kelâm","gereksiz söz söyleme"
"istidâdât","istidatlar, kabiliyetler"
"itidal","her konuda orta yolu tutma, aşırıya kaçmama"
"kesretli","pek çok"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"küfür","inkâr, inançsızlık"
"mahz-ı hikmet","hikmetin ta kendisi"
"mazhar etmek","eriştirmek"
"mutabık-ı mukteza-yı hâl","hâlin gereğine uygun"
"mübalâğa","abartı"
"müflis","iflas etmiş"
"münezzeh","arınmış, kusur ve eksiklikten yüce"
"mütecaviz","saldırgan, haddi aşan"
"nefis","insanı kötülüklere yönelten duygu"
"netice-i amel","yapılan işin neticesi"
"rahmet ve hikmet ve adalet-i İlâhiye","Allah’ın rahmet, hikmet ve adaleti"
"raiyet","halk, tabi olanlar"
"sahib-i zîşân","şanlı sahip"
"semere-i sa’y","çalışmanın meyvesi, neticesi"
"Sultan-ı Ezel ve Ebed","başlangıç ve sonu olmaksızın, hüküm ve saltanatı ezelden ebede devam eden Sultan, Allah"
"sülûk etmek","yol almak, ilerlemek"
"şekvâ","şikâyet"
"şerik","ortak"
"tahribat","tahripler, yıkıp bozmalar"
"tahşidat","öneminden dolayı bir şeyin üzerinde fazla durma"
"tahşid etmek","yığınak yapmak, bir noktayı çokça vurgulamak"
"tecavüz","haddi aşma, saldırma"
"tehdidât","tehditler"
"üslûp","ifade tarzı"
"vezâif-i âliye","yüce vazifeler"
"adem","yokluk, hiçlik"
"ademî","yokluğa ait"
"âsâr-ı tahripkârâne","tahrip edici davranış ve hareketler"
"ashab-ı keşif","imanın hakikatlerine ve sırlarına, mânevi terakki ile ulaşan kimseler"
"atâlet","hareketsizlik"
"belâ","büyük sıkıntı"
"bilmüşahede","gözle görerek"
"binaen","dayanarak"
"çendan","gerçi, her ne kadar"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"ecza","kısımlar, bölümler"
"ehl-i iman","Allah’a ve Allah’tan gelen her şeye inanan kimseler, mü’minler"
"ehl-i tahkik","gerçeği bütün ayrıntılarıyla araştıran kişiler"
"ekseriyet-i mutlaka","büyük çoğunluk"
"emr-i ademî","yokluğa ait iş, şey"
"envâ-ı küfür","küfrün çeşitleri"
"fâil","işi yapan, özne"
"fiil","hareket, iş, etki"
"harabiyet","harab olma, yıkılma"
"hasıl olmak","meydana gelmek"
"hayır","iyilik, faydalı ve sevaplı amel"
"hayr-ı mahz","sırf hayırdan ibaret"
"hilkat","yaratılış, yaratma"
"hisse-i iştirak","katılma payı"
"icad","var etme"
"iktidar","güç ve kuvvete sahip olma"
"illet","esas sebep, maksat"
"iltica etmek","sığınmak"
"in’idâm","yok olma"
"istinad etmek","dayanmak"
"kemâlât","mükemellikler, kusursuz özellikler"
"mâdum","yokluğa ve hiçliğe düşen"
"mahv","yok olma"
"mâsiyet","günah, isyan"
"mehâlik","helâk edici şeyler"
"mehâsin","güzellikler"
"menfi","olumsuz"
"metin","sağlam, kuvvetli"
"muvafık","uygun"
"mülk-ü İlâhî","Allah’a ait mülk, kâinat"
"müsbet","sabit olarak var olan"
"nefy","inkar"
"nev’","çeşit, tür"
"râci","dönen, ait olan"
"rükn","esas, şart"
"semâvî","Allah tarafından olan"
"suret-i zâhirî","dış görünüş"
"sübutî","sabit olarak var olan"
"şerr-i mahz","tamamıyla şer ve kötü"
"şeytan-ı ins ve cin","insan ve cinlerden olan şeytanlar"
"takarrur etmek","karar bulmak, sağlamca yerleşmek"
"cihazat-ı tamiriye","onarım ve tamir aletleri"
"cüz-ü ihtiyar","sınırlı irade"
"desise","hile, aldatma"
"ehl-i iman","Allah’a ve Allah’tan gelen her şeye inanan kimseler, mü’minler"
"esbab-ı hidayet","doğru yola ulaşma sebepleri"
"Eûzü billâh","Allah’a sığınırım"
"Fesübhânallah","“Allah’ı her türlü kusur, ayıp ve eksiklerden tenzih ederim” mânâsında"
"gıybet etmek","arkasından konuşmak"
"hâlık-ı hayır","iyilik yaratanı"
"hâlık-ı şer","kötülük yaratanı"
"hizbüşşeytan","şeytanın taraftarları"
"hüsn-ü zan","güzel düşünce"
"icadsız","yaratma özelliği olmayan"
"ilâh-ı şer","kötülük tanrısı"
"iltica","sığınma"
"iltifat","övgü"
"irşad etmek","doğru yolu göstermek"
"irtibat","bağ, ilişki"
"istiğfar","Allah’tan bağışlanma dilemek"
"kal’a","kale"
"kesb etmek","kazanmak"
"kütüb-ü semâviye","vahye dayanan kutsal kitaplar"
"Mecusî","ateşe tapan"
"mevhum","gerçekte olmadığı halde var sayılan"
"mücâzât","cezalandırma"
"riyâkârâne","ikiyüzlülükle"
"sukut","alçalış, düşüş"
"Sünnet-i Seniyye","Peygamberimizin söz, fiil ve hareketlerine dayanan yüce prensipler"
"şer","kötülük"
"tahribat","tahripler, yıkıp bozmalar"
"tasdik","doğruluğunu kabul etme, onaylama"
"tehdidât","tehditler"
"tehdit","korkutma"
"Yezdan","Mecusî dininde iyilik tanrısı olarak kabul edilen ilâh"
"cüz’î","az, ferdî"
"ders-i hakikat","hakikat dersi"
"desâis-i şeytaniye","şeytanın hileleri, aldatmacaları"
"desise","hile, aldatma"
"ehl-i iman","Allah’a ve Allah’tan gelen her şeye inanan kimseler, mü’minler"
"emr-i ademî","yokluğa ait iş, iş"
"Gafûr","çok merhamet eden, suçları bağışlayan Allah"
"günah-ı kebâir","büyük günahlar"
"hakikat","asıl, esas, gerçek"
"Hariciye mezhebi",""
"ihata etmek","içine almak, kapsamak"
"ihsan","bağış, iyilik, lütuf"
"iltifat","övgü"
"inkişaf etmek","açığa çıkmak"
"irtikâp etmek","yapmak, işlemek"
"istiğfar","Allah’tan bağışlanma dilemek"
"kabile","alıcı"
"kâfir","Allah'ı veya Allah’ın bildirdiği kesin olan birşeyi inkâr eden kimse"
"kelime-i kudsiye","kutsal cümle"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"kuvve-i şeheviye ve gadabiye","şehvet ve öfke duyguları; insanı dünya zevklerini elde etmeye ve zararlı şeyleri defetmeye sevkeden duygular"
"küfür","inkâr, inançsızlık"
"lillâhilhamd","ne kadar hamd ve şükürler varsa ve olmuşsa, hepsi Allah’a aittir"
"mağfiret","bağışlama"
"melce","sığınak"
"Mutezile",""
"mübarek","bereketli, hayırlı"
"nâkile","iletici"
"nefis","insanı kötülüklere yönelten duygu"
"Rahîm","rahmeti her şeyi kuşatan, her bir varlığa ayrı ayrı şefkatini gösteren Allah"
"rahmet-i vâsia","Allah’ın herşeyi kuşatan geniş rahmeti"
"sabıkan","bundan önce"
"sukut","alçalış, düşüş"
"sûre","Kur’ân-ı Kerim’in bölümlerinden her biri"
"tahassungâh","korunma yeri, sığınak"
"tecellî-i âzam","en büyük tecelli, görünüm"
"tergibat","rağbet uyandırmalar, teşvikler"
"teşvikat","teşvikler"
"teveccüh etmek","yönelmek"
"varta","tehlike, çamura düşme"
"zikir","Allah’ı anma"
"aks/akis","yansıma"
"âyine","ayna"
"Barla Denizi",""
"beyan etmek","açıklamak"
"dalâlet","inançsızlık, hak yoldan sapkınlık"
"desise","hile, aldatma"
"divane","akılsız"
"edeb","terbiye, güzel ahlâk"
"hassas","duyarlı"
"Herçi bâd, âbâd","“Her ne olursa olsun” anlamında bir deyim"
"hürmetli","saygıdeğer"
"icmâlen","kısaca, özetle"
"ilm-i usul-i din","kelâm ve İslâmî metod ilmi"
"iltibas","karıştırma"
"imkân-ı aklî","aklen mümkün olma"
"imkân-ı zâtî","bir şeyin özünde mümkün olması"
"itikad","inanç"
"kaide","düstur, prensip"
"kavâid-i mukarrere","yerleşmiş kaideler, kurallar"
"küfriyât","küfre sebep olan işler, sözler"
"küfür","inkâr, inançsızlık"
"mahiyet","nitelik, özellik"
"maskara olmak","gülünç ve rezil olmak"
"misâl","yansıma"
"mukaddes","kusur ve eksiklikten uzak, kutsal"
"murdar","pis, kirli, haram"
"münâfi","aykırı, zıt"
"münezzeh","arınmış, kusur ve eksiklikten yüce"
"risale","Risale-i Nur’u oluşturan bölümler"
"sâfi-kalb","kalbi temiz"
"suret","biçim, görünüş"
"şetim","çirkin söz, kötü düşünce"
"şirk","Allah’a ortak koşma"
"tağyir etmek","değiştirmek"
"tahayyül-ü küfrî","küfür ve inkârla ilgili meseleleri hayal etme"
