"mahlûk","yaratık"
"hâcet","ihtiyaç"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"mahlûk","yaratık"
"bekà","süreklilik, devamlılık"
"hacet","ihtiyaç"
"mühmel bıraksın","ihmal etmek"
"istimdad","yardım isteme"
"sual","istek"
"Rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"haşmet","görkem, heybet"
"ibâd","kullar"
"muhafaza","koruma"
"muhafaza","koruma"
"fâni","geçici, ölümlü"
"hakikat","gerçek mahiyet, asıl, esas"
"mazhar","erişme, sahip olma"
"Belki","aslında, işin doğrusu"
"Mahkeme-i Kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"Zira","çünkü"
"hakikî","gerçek"
"nisbet","oran, ölçü"
"belki","aslında, işin doğrusu"
"mahiyet","esas, nitelik, özellik"
"azamet","büyüklük"
"nisbet","oran, ölçü"
"mükâfat","ödül"
"mücazat","ceza"
"fâni","geçici, ölümlü"
"ebed","sonsuzluk"
"halk","yaratılmak"
"mazhariyet","erişme, kavuşma"
"Âdil","adalet sahibi, herşeye hakkını veren Allah"
"Zât-ı Celîl-i Zülcemâl","sınırsız güzelliğiyle beraber, sonsuz yücelik ve haşmet sahibi olan Zât, Allah"
"Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"Zât-ı Cemîl-i Zülcelâl","sınırsız yücelik ve haşmetiyle beraber, sonsuz güzellik sahibi olan Zât, Allah"
"daimî","devamlı, sürekli"
"ebedî","sonsuz"
"HAKİKAT","gerçek mahiyet, asıl, esas"
"Bâb","kapı"
"Cûd","cömertlik, el açıklığı, muhtaçlara iyilikte, yardım ve bağışta bulunma"
"Cemâl","güzellik"
"Cevâd","sınırsız cömertlik sahibi olan ve çok çok ihsan eden Allah"
"Cemîl","bütün güzelliklerin kaynağı ve sonsuz güzellik sahibi olan Allah"
"cilve","yansıma, görüntü"
"nihayetsiz","sonsuz"
"cûd","cömertlik, el açıklığı, muhtaçlara iyilikte, yardım ve bağışta bulunma"
"sehâvet","cömertlik"
"misilsiz","benzersiz"
"sermedî","sürekli"
"cemâl","güzellik"
"ebedî","sonsuz"
"kemâl","mükemmellik, kusursuzluk"
"dar-ı saadet","mutluluk yurdu"
"mahall-i ziyafet","ziyafet yeri"
"daimî","devamlı, sürekli"
"şâkir","şükreden"
"müştak âyinedar","Allah'ın güzel isimlerini bir ayna gibi üzerinde aksettiren ve Onun sonsuz güzelliğine düşkün olan insan"
"mütehayyir","hayrete düşmüş"
"müzeyyen","süslü"
"masnuat","sanat eseri varlıklar"
"sofra-i nimet","nimet sofrası"
"mat'umat","yiyecekler"
"tecdit","yenileme"
"hadsiz","sınırsız"
"cûd","cömertlik, el açıklığı, muhtaçlara iyilikte, yardım ve bağışta bulunma"
"sehâvet","cömertlik"
"nihayetsiz","sonsuz"
"cûd","cömertlik, el açıklığı, muhtaçlara iyilikte, yardım ve bağışta bulunma"
"sehâvet","cömertlik"
"rahmet","merhamet, şefkat"
"daimî","devamlı, sürekli"
"dar-ı ziyafet","ziyafet yurdu"
"mahall-i saadet","mutluluk yeri"
"kat'î","kesin"
"telezzüz","lezzetlenen"
"mahall-i saadet","mutluluk yeri"
"ebedî","sonsuz"
"zevâl","yokluk, sona erme"
"firak","ayrılık"
"elem","acı, sıkıntı"
"zevâl-i elem","acının bitmesi"
"zevâl-i lezzet","lezzetin bitmesi"
"elem","acı, sıkıntı"
"sehâvet","cömertlik"
"elem","acı, sıkıntı"
"ebedî","sonsuz"
"ebedî","sonsuz"
"nihayetsiz","sonsuz"
"cûd","cömertlik, el açıklığı, muhtaçlara iyilikte, yardım ve bağışta bulunma"
"sehâ","cömertlik"
"nihayetsiz","sonsuz"
"ihsan","ikram, bağış iyilik"
"Nihayetsiz","sonsuz"
"ihsan","bağış, ikram"
"nihayetsiz","sonsuz"
"minnettarlık","şükran duygusu"
"ihsan","bağış, ikram"
"mazhar","erişme, sahip olma"
"devam-ı vücud","varlığın devamı"
"daimî","devamlı, sürekli"
"tena'um","nimetlenme"
"daimî","devamlı, sürekli"
"in'âm","nimetlendirme"
"zevâl","yokluk, sona erme"
"cüz'î","az, küçük"
"telezzüz","lezzetlenme"
"cûd u sehâ","cömertlik"
"mukteza","gereklilik"
"kabil-i tevfik","bağdaşan"
"meşher-i san'at-ı İlâhiye","Allah'ın sanat eserlerinin sergilendiği yer"
"nebatat","bitkiler"
"hayvanat","hayvanlar"
"ilânât-ı Rabbâniye","Allah tarafından gönderilen ve Allah'a işaret eden duyurular"
"Mehâsin-i rububiyet","Rablığın güzellikleri; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesinin, onları terbiye edip idaresi ve egemenliği altında bulundurmasının güzellikleri"
"dellâl","duyurucu, ilan edici"
"enbiya","peygamberler"
"evliya","veliler"
"müttefikan","ittifakla, fikir birliğiyle"
"Sâni-i Zülcelâl","sonsuz haşmet ve yücelik sahibi ve herşeyi san'atla yaratan Allah"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"teşhir","sergileme"
"beyan","açıklama"
"enzâr-ı dikkat","dikkatli bakışlar"
"celb","çekmek"
"âlem","dünya"
"Sâni","herşeyi san'atla yaratan Allah"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"istihsan edici","güzel bulan, beğenen"
"Mâşaallah","Allah dilemiş ve ne güzel yaratmış"
"müşahede","gözlem"
"teşhir","sergileme"
"Daimî","devamlı, sürekli"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"daimî","devamlı, sürekli"
"tezahür","görünme, ortaya çıkma"
"istihsan edici","güzel bulan, beğenen"
"devam-ı vücud","varlığın devamı"
"Bekà","kalıcılık, devamlılık ve süreklilik"
"istihsan edici","güzel bulan, beğenen"
"nazarında","gözünde"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"sukut","düşmek"
"kâinat","evren, yaratılmış herşey"
"mevcudat","varlıklar"
"misilsiz","benzersiz"
"cemâl","güzellik"
"mehâsin","güzellikler"
"nazirsiz","benzersiz"
"hafî","gizli"
"hüsn","güzellik"
"letâif","güzellikler"
"iş'ar","bildirmek"
"münezzeh","her türlü kusur ve çirkinlikten arınmış"
"mukaddes","her türlü kusur ve eksiklikten yüce, kutsal"
"cemâl","güzellik"
"cilve","yansıma, görüntü"
"esmâ","Allah'ın isimleri"
"define","hazine"
"âli","yüce"
"nazirsiz","benzersiz"
"cemâl","güzellik"
"mehâsin","güzellikler"
"mir'at","ayna"
"hüsn","güzellik"
"derecât","dereceler"
"cemâl","güzellik"
"mikyas","ölçek"
"zîşuur","şuur sahibi, bilinçli"
"müştak","düşkün, şiddetle arzulayan, aşık"
"âyine","ayna"
"müşahede","görme"
"nazarıyla","bakışıyla, gözüyle"
"cemâl","güzellik"
"vech","güzellik"
"cemâl","güzellik"
"âyine","ayna"
"müşahede","görme"
"müştak","düşkün, şiddetle arzulayan, aşık"
"mütehayyir","hayrete düşen"
"istihsancı","güzel bulan, beğenen"
"müşahede","görme"
"müşahede","görme"
"cemâl","güzellik"
"müştak","düşkün, şiddetle arzulayan, aşık"
"mütehayyir","hayrete düşen"
"istihsan","beğenme, güzel bulma"
"cemâl","güzellik"
"ebedî","sonsuz"
"sermedî","sürekli, devamlı"
"müştak","düşkün, şiddetle arzulayan, aşık"
"devam-ı vücut","varlığın devamı"
"daimî","sürekli"
"cemâl","güzellik"
"zâil","yok olup gidici"
"müştak","düşkün, şiddetle arzulayan, aşık"
"Zira","çünkü"
"zevâl","gelip geçicilik, kaybolma"
"zevâl","gelip geçicilik, kaybolma"
"tasavvur","düşünme, hayal"
"muhabbet","sevgi"
"adavet","düşmanlık"
"istihfaf","hafife alma"
"hürmet","saygı"
"tahkir","hakaret, küçümseme"
"meyl","güzellik"
"hodgâm","bencil"
"nihayetsiz","sonsuz"
"muhabbet","sevgi"
"hadsiz","sınırsız"
"şevk","şiddetli istek ve arzu"
"istihsan","beğenme, güzel bulma"
"mukabele","karşılık"
"cemâl","güzellik"
"zımnen","gizlice"
"adavet","düşmanlık"
"inkâr","inanmama, kabul etmeme, yok sayma"
"mukabele","karşılık"
"kâfir","Allah'ı veya Onun kesin olarak emrettiği şeylerden herhangi birini inkâr eden kimse"
"nihayetsiz","sonsuz"
"sehâvet","cömertlik"
"cûd","cömertlik, el açıklığı"
"misilsiz","benzersiz"
"cemâl","güzellik"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"müteşekkir","teşekkür eden"
"müştak","şiddetle arzulayan, düşkün"
"müstahsin","beğenen, güzel bulan"
"iktiza","gerektirme"
"misafirhane-i dünya","dünya misafirhanesi"
"sehâvet","cömertlik"
"ihsan","bağış, iyilik, lütuf"
"İştiha","iştah, fazla arzu ve istek"
"kemâl","mükemmellik, kusursuzluk"
"seyrangâh-ı daimî","devamlı gezinti yeri"
"mevcudat","varlıklar"
"Sâni-i Zülcelâl","herşeyi san'atla yaratan, sonsuz haşmet ve yücelik sahibi Allah"
"kat'î","kesin"
"Sâni-i Zülcelâl","herşeyi san'atla yaratan, sonsuz haşmet ve yücelik sahibi Allah"
"sıfât","vasıf, özellik"
"esmâ-i kudsiye","Allah'ın kutsal, her türlü kusur ve noksanlıktan yüce isimleri"
"Şefkat","içten ve karşılıksız sevgi, merhamet"
"Ubûdiyet-i Muhammediye","Peygamberimiz Hz. Muhammed'in mükemmel kulluğu"
"Rahîm","rahmeti herşeyi kuşatan, sonsuz şefkat ve merhamet sahibi olan Allah"
"hacet","ihtiyaç"
"mahlûk","yaratık"
"kemâl-i şefkat","tam ve mükemmel şefkat"
"is'âf","yardıma koşmak"
"mahlûk","yaratık"
"imdad","yardım"
"lisan-ı hâl ve kal","hal ve konuşma dili"
"icabet","cevap verme"
"nihayetsiz","sonsuz"
"şefkat","içten ve karşılıksız sevgi, merhamet"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"mahlûk","yaratık"
"hacet","ihtiyaç"
"is'âf","yardıma koşmak"
"hayvanat","hayvanlar"
"lûtuf","yardım, iyilik, bağış"
"suhulet","kolaylık"
"kâinat","evren, yaratılmış herşey"
"Mâlik","herşeyin sahibi olan Allah"
"rahmet","merhamet, şefkat"
"rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"Rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"rahîmâne","şefkat ve merhametle"
"kabil","mümkün, olabilir"
"mahlûkat","yaratılmışlar"
"efdal","en faziletli, en üstün"
"hakikat","gerçek, doğru"
"vech","yön, şekil"
"mükerreren","tekrarlayarak"
"beyan","açıklamak"
"nefs","kişinin kendisi"
"Hikâye-i temsiliye","analojik, kıyaslama dayanan benzetmeli hikâye"
"içtima","toplanma"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"hakikat","gerçek, doğru"
"tecerrüt","sıyrılma"
"Asr-ı Saadet","Peygamberimizin yaşadığı dönem, mutluluk asrı"
"Ceziretü'l-Arab","yarımada"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"aleyhissalâtü vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"ubûdiyet","kulluk"
"risalet","peygamberlik"
"hidayet","doğru ve hak yolda oluş, İslâmiyet"
"saadet-i ebediye","sonsuz mutluluk"
"sebeb-i husul","meydana gelme sebebi"
"vesile-i vusul","kavuşma vesilesi"
"ubûdiyet","kulluk"
"saadet","mutluluk"
"sebeb-i vücud","varlık sebebi"
"vesile-i icad","varlık vesilesi"
"salât-ı kübrâ","en büyük namaz"
"ibadet-i ulyâ","en yüce ibadet"
"saadet-i ebediye","sonsuz mutluluk"
"cezire","yarımada"
"arz","yer, dünya"
"azametli","büyük"
"nam","ad"
"nam","ad"
"niyaz","dua, yalvarma, yakarma"
"ubûdiyet","kulluk"
"ittiba","tabi olmak, uymak"
"ümmet","Peygambere inanıp onun yolundan gidenler"
"ubûdiyet","kulluk"
"tazammun","içerme, içine alma"
"muvafakat","uygunluk"
"enbiya","peygamberler"
"sırr-ı ubûdiyet","kulluk sırrı"
"tazammun","içerme, içine alma"
"salât-ı kübrâ","en büyük namaz"
"cemaat-i uzmâ","çok büyük cemaat"
"niyaz","dua, yalvarma, yakarma"
"Hazret-i Âdem","Cenâb-ı Hakkın yarattığı ilk insan ve insanlara gönderdiği ilk peygamber; bk. Âdem (a.s.)"
"kıyamet","dünyanın sonu, varlığın bozulup dağılması"
"nuranî","nurlu, parlak"
"kâmil","olgunluk ve kemâl sahibi"
"tebaiyet","tabi olma, uyma"
"iktida","uyma"
"mevcudat","varlıklar"
"niyaz","istek, dua"
"iştirak","katılmak"
"lisan-ı hâl","hal ve beden dili"
"yâ Rabbenâ","ey Rabbimiz"
"hazinâne","hüzünlü bir şekilde"
"mahbubâne","sevimli bir şekilde"
"müştakane","çok isteyerek, iştiyakla"
"tazarrukârâne","yalvarıp yakararak"
"saadet-i bakiye","devamlı, sonsuz bir mutluluk"
"kâinat","evren, yaratılmış herşey"
"iştirak","katılmak"
"saadet","mutluluk"
"mahlûkat","yaratıklar"
"sukut","düşüş"
"ulvî","yüce"
"mektubât-ı Samedâniye ","Allah tarafından gönderilmiş birer mektup gibi, şuur sahiplerine İlâhî san'atı anlatan eserler"
"niyaz-ı istirhamkârâne","rahmet dileyerek dua etmek"
"mevcudat","varlıklar"
"semâvât","gökler"
"vecd","kendini kaybedercesine İlâhî aşka dalma"
"Semî'","herşeyi duyan ve işiten Allah"
"Kerîm","sınırsız ikram, lütuf, ihsan ve cömertlik sahibi Allah"
"Kadîr","herşeye gücü yeten, sonsuz güç ve kudret sahibi Allah"
"Rahîm","rahmeti herşeyi kuşatan, sonsuz merhamet ve şefkat sahibi olan Allah"
"saadet","mutluluk"
"zîhayat","canlı"
"niyaz","dua, yalvarma"
"lisan-ı hâl","hal ve beden dili"
"icabet","cevap vermek"
"suret-i hakîmâne","hikmetli bir şekilde"
"rahîmâne","şefkatli ve merhametli bir şekilde"
"icabet","cevap vermek"
"tedbir","idare etme, çekip çevirme"
"Semî'","herşeyi duyan ve işiten Allah"
"mahsus","özel, özgü"
"Kerîm","sınırsız ikram, lütuf, ihsan ve cömertlik sahibi Allah"
"Rahîm","rahmeti herşeyi kuşatan, sonsuz merhamet ve şefkat sahibi olan Allah"
"müteveccihen","yönelerek"
"nev-i beşer","insanlık"
"şeref-i nev-i insan","insanlığın şerefi"
"ümmet","Peygambere inanıp onun yolundan gidenler"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"mevcudat","varlıklar"
"esmâ-i kudsiye-i İlâhiye","Allah'ın her türlü kusur ve noksandan yüce isimleri"
"esmâ","isimler"
"şefaat talep","Allah'ın izniyle affına vesile olmasını isteme"
"esbab-ı mucibe","gerektirici sebepler"
"icad","var etme, yaratma"
"Hâlık-ı Rahîm","sonsuz merhamet ve şefkat sahibi ve herşeyi yoktan yaratan Allah"
"kudret","güç, iktidar"
"mahşer","haşir meydanı, toplanma yeri"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"nümune","örnek"
"icad","var etme, yaratma"
"Kadîr-i Mutlak","herşeye gücü yeten, sonsuz güç ve kudret sahibi Allah"
"icad","var etme, yaratma"
"risalet","peygamberlik"
"mazhar","sahip olma, erişme"
"ubûdiyet","kulluk"
"intizam-ı âlem","kâinattaki düzenlilik"
"hüsn-ü san'at","güzel san'at"
"misilsiz","benzersiz"
"icabet","cevap verme"
"intizam","düzenlilik"
"ifa","yerine getirmek"
"Hâşâ ve kellâ","asla ve asla, kesinlikle öyle değil"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"risalet","peygamberlik"
"ubûdiyet","kulluk"
"Haşmet","göz kamaştırıcı büyüklük, görkem, heybet"
"Sermediyet","devamlılık, süreklilik"
"mevcudat","varlıklar"
"zerre","atom, en küçük madde parçası"
"emirber nefer","emre hazır asker"
"teshir","boyun eğdiren"
"haşmet-i Rububiyet","Allah'ın bütün varlıkları terbiye ve idare ediciliğinin büyüklüğü"
"misafirhane-i dünya","dünya misafirhanesi"
"muvakkat","geçici"
"fâni","gelip geçici, ölümlü"
"sermedî","devamlı, sürekli"
"medâr-ı rububiyet","İlâhî rububiyetin cereyan ettiği yer"
"icad","var etme, yaratma"
"kâinat","evren, yaratılmış herşey"
"haşmetli","görkemli, heybetli"
"icraat","faaliyet, iş"
"seyyârât","gezegenler"
"tayyare-misal","uçak gibi"
"azametli","büyük"
"harekât","hareketler"
"arz","yer, dünya"
"teshirat","itaat ettirmeler"
"küre-i arz","yerküre, dünya"
"tahvilât","değişimler"
"muazzam","çok büyük"
"rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"muhteşem","ihtişamlı, görkemli"
"saltanat","egemenlik, hükümranlık"
"saltanat-ı rububiyet","Rablık saltanatı"
"raiyet","halk"
"şayeste","layık"
"mazhar","yansıma ve görünme yeri; sahip olma, erişme"
"mahiyet","esas, nitelik, içyüz"
"cami'","kapsayıcı, kuşatıcı"
"raiyet","halk"
"bende","kul"
"misafirhane-i dünya","dünya misafirhanesi"
"suret","şekil, tarz; görüntü"
"muvakkaten","geçici olarak"
"raiyet","halk"
"tecrübe-i hizmet","hizmet deneyimi"
"meydan-ı imtihan","imtihan meydanı"
"muvakkaten","geçici olarak"
"tebeddül","değişmek"
"raiyet","halk"
"Sâni-i Zülcelâl","sonsuz haşmet ve yücelik sahibi ve herşeyi san'atla yaratan Allah"
"kıymettar","kıymetli, değerli"
"ihsânât","iyilikler, ikramlar, bağışlar"
"nümune","örnek"
"antika","kıymetli sanat eseri"
"çarşı-yı âlem","dünya çarşısı"
"nazarında","gözünde"
"temâşâ","seyretme, bakma"
"teşhirgâh","sergi yeri"
"meşher","sergi"
"tahavvül","değişme"
"vaziyet","durum"
"kat'î","kesin olarak"
"meşher","sergi"
"sermedî","devamlı, sürekli"
"saltanat","egemenlik, hükümranlık"
"medar","sebep, vesile, eksen"
"mazhar","yansıma ve görünme yeri; sahip olma, erişme"
"daimî","devamlı, sürekli"
"müstemir","yerleşmiş, devamlı"
"mesken","yer, mekan"
"nümune","örnek"
"suret","şekil, tarz; görüntü"
"halis","saf, temiz"
"istidad","kabiliyet"
"saadet","mutluluk"
"sermedî","devamlı, sürekli"
"saltanat","egemenlik, hükümranlık"
"muhal","imkansız"
"fâni","geçici, ölümlü"
"zâil","geçip gidici, yok olucu"
"zelil","aşağılık, alçak"
"hakikat","gerçek, doğru"
"temsil","kıyaslama tarzında benzetme, analoji"
"tenezzüh","gezinti"
"tezyinat","süslemeler"
"sarf","harcamak"
"tezyinat","süslemeler"
"mahsus","özel"
"suret","görüntü, resim"
"hizmetkâr","hizmetçi"
"suret-i muamele","davranış şekli, görüntüsü"
"kıymettar","kıymetli, değerli"
"tezyinat","süslemeler"
"tahrip","yıkıp yok etme, bozma"
"tezyinat","süslemeler"
"icad","var etme, yaratma"
"menzil","yer, mekan"
"müstemir","yerleşmiş, devamlı"
"sehâvet","cömertlik"
"rağbet","düşkünlük, istek"
"misafirhane-i dünya","dünya misafirhanesi"
"vaziyet","durum"
"suret","görüntü, resim"
"muhal","imkansız"
"kafile-i mahlûkat","yaratıklar, varlıklar topluluğu"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"Rabb-i Kerîm","sonsuz ikram ve ihsan sahibi, herşeyi idare ve terbiye edip egemenliği altında bulunduran Allah"
"tezyinat","süslemeler"
"telezzüz","lezzetlenme, zevklenme"
"tenezzüh","gezinti"
"firak","ayrılık"
"kâfi","yeterli"
"müddet","süre"
"tezyinat","süslemeler"
"ibret","uyanıklığa sebep olan ders"
"Usul-ü daimî","daimî asıllar"
"ulvî","yüksek, yüce"
"müzeyyenat","süslenmiş şeyler"
"fâni","gelip geçici, ölümlü"
"masnuat","sanat eseri varlıklar"
"fena","geçicilik, ölümlülük"
"mahvolmak","yok olmak"
"vücut","varlık"
"matlup","istenilen"
"suret","şekil, görüntü"
"timsal","örnek, benzer"
"mânâ","anlam"
"zaptedilsin","kaydedilmek; korunup saklanmak"
"ehl-i ebed","sonsuzluk ehli"
"nesc","dokunmak"
"âlem-i bekà","devamlı ve kalıcı âlem"
"medar","sebep, vesile"
"bekà","devamlılık, kalıcılık"
"fena","geçicilik, ölümlülük"
"sureten","görünüşte"
"fena","geçicilik, ölümlülük"
"tamam-ı vazife ve terhis","görevin son bulması, salıverilme"
"fâni","gelip geçici, ölümlü"
"cihet","yön"
"fena","geçicilik, ölümlülük"
"cihet","yön"
"bâki","devamlı, kalıcı, sonsuz"
"kudret","Allah'ın güç, kuvvet ve iktidarı"
"derakab","hemen, çabucak"
"fena","geçicilik, ölümlülük"
"misal","örnek, benzer"
"tevdi","bırakmak"
"mânâ","anlam"
"ibkà","kalıcı ve sürekli hale getirmek"
"ifade-i mânâ","anlamının ifadesi"
"zahirî","görünürdeki"
"suret","şekil, görüntü"
"mahiyet","nitelik, özellik, asıl, esas"
"Güya","sanki"
"hıfz-ı ziynet","süsün korunması, saklanması"
"devam-ı bekà","devamlı ve kalıcı olma"
"menzil","yer, durak"
"mertebe-i hayat","hayat derecesi"
"masnu","sanat eseri varlık"
"tabaka-i hayat","hayat tabakası"
"ervâh-ı bâkıye","kalıcı ve davamlı ruh"
"bekà","devamlılık, kalıcılık"
"alâkadar","alâkalı, ilgili"
"nebatat","bitkiler"
"kanun-u teşekkülât","oluşum kanunu"
"timsal-i suret","suretinin, şeklinin örneği"
"zerrecik","küçücük, ufak"
"kemâl-i intizam","tam bir düzen"
"dağdağalı","karışık, sıkıntılı, gürültülü"
"inkılâp","değişim, dönüşüm"
"ibkà","kalıcı ve sürekli hale getirmek"
"muhafaza","korunma, saklanma"
"cem'iyetli","kapsamlı"
"mahiyet","nitelik, özellik, asıl, esas"
"mâlik","sahip"
"haricî","dışa ait"
"vücut","varlık"
"zîşuur","şuur sahibi, bilinçli"
"nuranî","nurlu, ışıklı"
"kanun-u emrî","Cenâb-ı Hakkın doğrudan emrinden gelerek vasıtasız işleyen kanunu"
"ruh-u beşer","insan ruhu"
"bekà","devamlılık, kalıcılık"
"merbut","bağlı"
"alâkadar","alâkalı, ilgili"
"amel","davranış, iş"
"suret","şekil, görüntü"
"muhasebe","hesaba çekilme"
"zaptedilir","kaydedilmek; korunup saklanmak"
"güz","sonbahar"
"güz","sonbahar"
"mahlûkat","yaratıklar"
"tahribat","yıkılıp bozulmalar"
"terhisat","görevin sona ermesi"
"mahlûkat","yaratıklar"
"tefrigat","yer açma, boşaltma"
"vazifedar","vazifeli, görevli"
"vazifedar","vazifeli, görevli"
"mevcudat","varlıklar"
"ihzarat","hazırlamalar"
"zîşuur","şuurlu, bilinçli"
"gaflet","umursamazlık, dinin emir ve yasaklarına duyarsızlık"
"ikazât-ı Sübhâniye","her türlü kusur ve eksiklikten yüce olan Allah'ın ikazları, uyarıları"
"fâni","geçici, ölümlü"
"sermedî","devamlı, sürekli"
"Sâni","herşeyi sanatla yaratan Allah"
"ibâd","kullar"
"teşvik","şevklendirme, isteklendirme"
"Rahmân","kullarına karşı çok merhametli olan ve rahmet eserleri bütün varlık âlemini kuşatan Allah"
"has","özel"
"ibâd","kullar"
"kalb-i beşer","insan kalbi"
"hutur","akla gelme, kalbe doğma"
"Hıfz","koruma, saklama, muhafaza etme"
"Hafîziyet","Allah'ın herşeyi koruyup saklaması"
"Hafîz","yarattıklarını gözetip esirgeyen, amellerini koruyan Allah"
"Rakîb","görüp gözeten, koruyan, yarattıklarından bir an bile gafil olmayan Allah"
"cilve","yansıma, görüntü"
"kemâl-i intizam ve mizan","mükemmel düzen ve ölçü"
"muhasebe","hesaba çekme, sorgulama"
"Hafîziyet","Allah'ın herşeyi koruyup saklaması"
"fıtrat","yaratılış"
"hilâfet-i kübrâ","insanın yeryüzünde temsil ettiği halifelik görevi"
"emanet-i kübrâ","en büyük emanet; Allah'a karşı kulluk vazifelerimiz"
"Rububiyet-i âmmeye","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"amel","iş, davranış"
"muhafaza","koruma"
"muhasebe","hesaba çekme, sorgulama"
"şayeste","layık"
"kâinat","evren, yaratılmış herşey"
"nizam","düzen"
"mizan","ölçü"
"muhafaza","koruma"
"Nizam","düzen"
"mizan","ölçü"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"irade","istek, tercih, dileme"
"kudret","güç, iktidar"
"tezahür","meydana çıkma, görünme"
"masnu","sanat eseri varlık"
"muntazam","düzenli, tertipli"
"mevzun","ölçülü"
"suret","şekil, biçim; görüntü"
"intizam","düzen"
"heyet-i mecmua","genel yapı, bütün"
"intizam","düzen"
"tahtında","altında"
"nihayet","son"
"âlem-i şehadet","görünen âlem, dünya"
"Hafîz-i Zülcelâl","sonsuz haşmet ve yücelik sahibi, büyük küçük herşeyi kaydedip koruyan Allah"
"suret","şekil, biçim; görüntü"
"elvâh-ı mahfuza","herşeyin kaydedilip korunduğu mânevî levhalar"
"hafıza","bellek"
"misalî","görüntüden ibaret"
"âyine","ayna"
"hıfz","saklama, koruma"
"ekser","pekçok"
"tarihçe-i hayat","hayat hikâyesi"
"nakşedip","işlemek"
"zâhir","görünen"
"bâtın","görünmeyen"
"âyine","ayna"
"ibkà","sürekli ve kalıcı hale getirmek"
"beşer","insan"
"hafıza","bellek"
"kanun-u Hafîziyet","Allah'ın bütün kâinatta geçerli olan muhafaza edicilik kanunu"
"azamet-i ihata","kuşatıcılığının büyüklüğü"
"mevcudat","varlıklar"
"sahâif-i a'mâl","amellerin yazıldığı sahifeler"
"teşkilât","yapı, kuruluş"
"suret","şekil, biçim; görüntü"
"timsal","örnek, nümune"
"mahdut","sınırlı"
"muhafaza","koruma"
"muhasebe","hesaba çekme, sorgulama"
"sahife-i amel","amellerin yazıldığı sayfa"
"neşredip","<div class=kAnlam id=ktp1_120_k15> işlemek"
"kemâl-i intizam ve hikmet","mükemmel bir düzen ve hikmet"
"Hafîziyet","Allah'ın herşeyi koruyup saklaması"
"ihata","kapsama, kuşatma"
"cereyan","meydana gelme"
"âdi","basit, önemsiz"
"bekàsız","gelip geçici, yok olucu"
"muhafaza","koruma"
"âlem-i gayb","görünmeyen, fakat varlığı kesin olan ve mahiyeti Allah tarafından bilinen başka dünyalar"
"âlem-i âhiret","âhiret âlemi, öteki dünya"
"âlem-i ervah","ruhlar âlemi"
"rububiyet-i âmme","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"semere","meyve, netice"
"beşer","insan"
"amel","iş, davranış"
"hıfz","koruma, saklama"
"suret","şekil, biçim"
"zaptedilme","kaydedilmek, korunmak"
"kabil","mümkün, olabilir"
